"objectid","stop_uid","stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_agncy","wheelchair","intersec","stop_place","parent_sta","lat","lng"
"194","MTS_10310","10310","10310","El Cajon Bl & Parks Av","32.76819913","-117.03358965","MTS","1.0","F-E/B","","","32.7681943585903","-117.03357777234653"
"195","MTS_10311","10311","10311","Jackson Dr & Lake Shore Dr","32.79785878","-117.03521059","MTS","1.0","N-E/B","","","32.797854005246656","-117.03519870658866"
"196","MTS_10312","10312","10312","Jamacha Rd & Glencoe Dr","32.71536671","-117.03201132","MTS","1.0","M-Street-E/B","","","32.71536194386648","-117.03199943992443"
"197","MTS_10313","10313","10313","Main St & Broadway (Lemon Grove Depot)","32.74249573","-117.03091544","MTS","2.0","N-N/B","brotro","","32.742490956313446","-117.0309035566558"
"198","MTS_10314","10314","10314","University Av & Maple Av","32.76195824","-117.0304081","MTS","1.0","N-E/B","","","32.76195346181782","-117.03039622177108"
"199","MTS_10315","10315","10315","Jackson Dr & Cowles Mountain Bl","32.795305","-117.02833461","MTS","1.0","N-E/B","","","32.79530022697904","-117.02832272637478"
"200","MTS_10317","10317","10317","University Av & La Mesa Bl","32.76414544","-117.02701835","MTS","1.0","M-Street-E/B","","","32.76414066139368","-117.02700646909221"
"201","MTS_10318","10318","10318","Paradise Valley Rd & Meadowbrook Dr","32.69767706","-117.02510955","MTS","1.0","M-Street-E/B","","","32.69767229161212","-117.02509767613964"
"202","MTS_10319","10319","10319","Jamacha Rd & Cardiff St","32.71754502","-117.02611659","MTS","1.0","N-E/B","carjam","","32.71754024815248","-117.02610471680684"
"203","MTS_10320","10320","10320","University Av & Allison Av","32.76577668","-117.02504838","MTS","1.0","N-E/B","","","32.765771909738824","-117.02503650131854"
"204","MTS_10321","10321","10321","San Vicente St & Cardiff St","32.71215697","-117.02496704","MTS","2.0","M-Street-E/B","","","32.71215220011519","-117.02495516425174"
"205","MTS_10322","10322","10322","Jackson Dr & Lake Badin Av","32.79404489","-117.02417126","MTS","2.0","N-E/B","","","32.79404011348797","-117.02415937351552"
"206","MTS_10324","10324","10324","Allison Av & Spring St","32.76596372","-117.02151721","MTS","1.0","N-E/B","lamtre","","32.76595894518706","-117.02150533510334"
"207","MTS_10325","10325","10325","Jackson Dr & Boulder Lake Av","32.79354688","-117.0207436","MTS","2.0","N-E/B","","","32.79354209920154","-117.02073171420476"
"208","MTS_10326","10326","10326","Allison Av & Palm Av","32.7659153","-117.01958773","MTS","1.0","N-E/B","allpal","","32.76591052622188","-117.01957585450016"
"209","MTS_10328","10328","10328","La Mesa Bl & University Av","32.76780465","-117.01542724","MTS","1.0","N-N/B","","","32.76779987540056","-117.01541535900714"
"210","MTS_10330","10330","10330","Sweetwater Rd & Jamacha Rd","32.71422822","-117.01279998","MTS","1.0","F-S/B","","","32.71422345239449","-117.01278810467224"
"211","MTS_10331","10331","10331","La Mesa Bl & Glen St","32.76934368","-117.01100328","MTS","1.0","N-E/B","","","32.769338902694095","-117.01099140421425"
"212","MTS_10332","10332","10332","Orville St & Brucker Av","32.70916815","-117.00925492","MTS","1.0","M-Street-E/B","orvbru","","32.709163385499686","-117.00924304218788"
"213","MTS_10333","10333","10333","La Mesa Bl & Jackson Dr","32.77042545","-117.00850765","MTS","1.0","N-E/B","","","32.77042067795759","-117.00849577653482"
