OBJECTID,stop_UID,stop_agency,stop_id,route_id
585,NCTD_20777,NCTD,20777,652
586,NCTD_20782,NCTD,20782,354
587,NCTD_20782,NCTD,20782,357
588,NCTD_20782,NCTD,20782,388
589,NCTD_20782,NCTD,20782,651
590,NCTD_20783,NCTD,20783,371
591,NCTD_20784,NCTD,20784,357
592,NCTD_20784,NCTD,20784,388
593,NCTD_20785,NCTD,20785,388
594,NCTD_20786,NCTD,20786,357
595,NCTD_20786,NCTD,20786,388
596,NCTD_20787,NCTD,20787,388
597,NCTD_20788,NCTD,20788,371
598,NCTD_20789,NCTD,20789,388
599,NCTD_20790,NCTD,20790,388
600,NCTD_20791,NCTD,20791,371
601,NCTD_20792,NCTD,20792,371
602,NCTD_20799,NCTD,20799,392
603,NCTD_20799,NCTD,20799,395
604,NCTD_20800,NCTD,20800,392
605,NCTD_20800,NCTD,20800,395
606,NCTD_20801,NCTD,20801,392
607,NCTD_20801,NCTD,20801,395
608,NCTD_20802,NCTD,20802,392
609,NCTD_20802,NCTD,20802,395
610,NCTD_20806,NCTD,20806,392
611,NCTD_20806,NCTD,20806,395
612,NCTD_20820,NCTD,20820,313
613,NCTD_20821,NCTD,20821,301
614,NCTD_20821,NCTD,20821,302
615,NCTD_20823,NCTD,20823,301
616,NCTD_20827,NCTD,20827,301
617,NCTD_20828,NCTD,20828,313
618,NCTD_20829,NCTD,20829,301
619,NCTD_20831,NCTD,20831,313
620,NCTD_20833,NCTD,20833,313
621,NCTD_20837,NCTD,20837,311
622,NCTD_20838,NCTD,20838,301
623,NCTD_20844,NCTD,20844,309
624,NCTD_20846,NCTD,20846,309
625,NCTD_20847,NCTD,20847,325
626,NCTD_20847,NCTD,20847,623
627,NCTD_20848,NCTD,20848,302
628,NCTD_20848,NCTD,20848,309
629,NCTD_20851,NCTD,20851,623
630,NCTD_20852,NCTD,20852,623
631,NCTD_20853,NCTD,20853,623
632,NCTD_20858,NCTD,20858,301
633,NCTD_20861,NCTD,20861,392
634,NCTD_20862,NCTD,20862,392
635,NCTD_20863,NCTD,20863,392
636,NCTD_20864,NCTD,20864,315
637,NCTD_20864,NCTD,20864,392
638,NCTD_20868,NCTD,20868,301
639,NCTD_20872,NCTD,20872,301
640,NCTD_20874,NCTD,20874,301
641,NCTD_20877,NCTD,20877,309
642,NCTD_20877,NCTD,20877,609
643,NCTD_20878,NCTD,20878,302
644,NCTD_20878,NCTD,20878,315
645,NCTD_20878,NCTD,20878,325
646,NCTD_20879,NCTD,20879,315
647,NCTD_20879,NCTD,20879,325
648,NCTD_20880,NCTD,20880,301
649,NCTD_20881,NCTD,20881,304
650,NCTD_20890,NCTD,20890,323
651,NCTD_20890,NCTD,20890,623
652,NCTD_20891,NCTD,20891,323
653,NCTD_20891,NCTD,20891,623
654,NCTD_20892,NCTD,20892,303
655,NCTD_20895,NCTD,20895,301
656,NCTD_20897,NCTD,20897,301
657,NCTD_20898,NCTD,20898,301
658,NCTD_20899,NCTD,20899,301
659,NCTD_20900,NCTD,20900,309
660,NCTD_20900,NCTD,20900,609
661,NCTD_20901,NCTD,20901,309
662,NCTD_20901,NCTD,20901,609
663,NCTD_20903,NCTD,20903,301
664,NCTD_20904,NCTD,20904,309
665,NCTD_20904,NCTD,20904,609
666,NCTD_20905,NCTD,20905,301
667,NCTD_20906,NCTD,20906,309
668,NCTD_20906,NCTD,20906,609
669,NCTD_20907,NCTD,20907,301
670,NCTD_20908,NCTD,20908,301
671,NCTD_20910,NCTD,20910,304
672,NCTD_20910,NCTD,20910,604
673,NCTD_20912,NCTD,20912,304
674,NCTD_20912,NCTD,20912,604
675,NCTD_20916,NCTD,20916,332
676,NCTD_20916,NCTD,20916,632
677,NCTD_20917,NCTD,20917,332
678,NCTD_20917,NCTD,20917,632
679,NCTD_20918,NCTD,20918,334
680,NCTD_20919,NCTD,20919,303
681,NCTD_20926,NCTD,20926,303
682,NCTD_20928,NCTD,20928,303
683,NCTD_20928,NCTD,20928,634
684,NCTD_20929,NCTD,20929,303
685,NCTD_20931,NCTD,20931,306
686,NCTD_20932,NCTD,20932,332
687,NCTD_20933,NCTD,20933,306
688,NCTD_20934,NCTD,20934,604
689,NCTD_20937,NCTD,20937,318
690,NCTD_20938,NCTD,20938,306
